Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
155;;paso 1/2*3/8 momtaz clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
156;;support rachacha clemed encastre mdwra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
157;;paso doble 1/2*1/2 palaman;qte;0,00;0,00;20,00;0,00;0,00;;Oui
158;;paso 1/2*1/2 clemed momtaz;qte;0,00;0,00;20,00;0,00;0,00;;Oui
159;;paso 1/2*3/8 clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
160;;paso doble 1/2/3/8 podium;qte;0,00;0,00;20,00;0,00;0,00;;Oui
161;;paso 1/23/8 noir sus 304;qte;0,00;0,00;20,00;0,00;0,00;;Oui
162;;paso doble 1/2*1/2 noir sus 304;qte;0,00;0,00;20,00;0,00;0,00;;Oui
163;;paso clemed 1/2/1/2;qte;0,00;0,00;20,00;0,00;0,00;;Oui
164;;paso doble 1/2*3/8 caramante;qte;0,00;0,00;20,00;0,00;0,00;;Oui
165;;sifon 10*10 inox relax;qte;0,00;0,00;20,00;0,00;0,00;;Oui
166;;sifon 10*10 nhas floordrain;qte;0,00;0,00;20,00;0,00;0,00;;Oui
167;;sifon 10*10 poussoir vilda;qte;0,00;0,00;20,00;0,00;0,00;;Oui
168;;tornios tasa jonb;qte;0,00;0,00;20,00;0,00;0,00;;Oui
169;;brasadira 40 pvc;qte;0,00;0,00;20,00;0,00;0,00;;Oui
170;;sifon 15*15 nhas floordraim;qte;0,00;0,00;20,00;0,00;0,00;;Oui
171;;robinet jardin 3/4 nhas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
172;;robinet nhas 3/4;qte;0,00;0,00;20,00;0,00;0,00;;Oui
173;;sifon 10*10 floordrai;qte;0,00;0,00;20,00;0,00;0,00;;Oui
174;;sifon 10*10 floordraim;qte;0,00;0,00;20,00;0,00;0,00;;Oui
175;;sifon 10*10 rivar;qte;0,00;0,00;20,00;0,00;0,00;;Oui
176;;rotolat nhas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
177;;clapi 32 nhas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
178;;kalam rasas;qte;0,00;0,00;20,00;0,00;0,00;;Oui
179;;clapi 25 3/4;qte;0,00;0,00;20,00;0,00;0,00;;Oui
180;;kripina 32;qte;0,00;0,00;20,00;0,00;0,00;;Oui
181;;kripina 40;qte;0,00;0,00;20,00;0,00;0,00;;Oui
182;;kalb robinet rba3 dawra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
183;;brasadira 25 hdid index;qte;0,00;0,00;20,00;0,00;0,00;;Oui
184;;brasadira 16 plastique;qte;0,00;0,00;20,00;0,00;0,00;;Oui
185;;brasadira 50 hdid;qte;0,00;0,00;20,00;0,00;0,00;;Oui
186;;code 1/2/20 pulitine;qte;0,00;0,00;20,00;0,00;0,00;;Oui
187;;racor 1/2/20 pulitine;qte;0,00;0,00;20,00;0,00;0,00;;Oui
188;;code 20 pulitine;qte;0,00;0,00;20,00;0,00;0,00;;Oui
189;;yed rolo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
190;;mika zbel bleu grand;qte;0,00;0,00;20,00;0,00;0,00;;Oui
191;;mika zbel bleu petit;qte;0,00;0,00;20,00;0,00;0,00;;Oui
192;;robinet plastique nos dawra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
193;;robinet plastique ras mdwar;qte;0,00;0,00;20,00;0,00;0,00;;Oui
194;;tornios lavabo a,t;qte;0,00;0,00;20,00;0,00;0,00;;Oui
195;;tornios lavabo jermany;qte;0,00;0,00;20,00;0,00;0,00;;Oui
196;;brasadira 16 index;qte;0,00;0,00;20,00;0,00;0,00;;Oui
197;;brasadira 20 index;qte;0,00;0,00;20,00;0,00;0,00;;Oui
198;;lequido grifon;qte;0,00;0,00;20,00;0,00;0,00;;Oui
199;;sifon 10*10 perla inox;qte;0,00;0,00;20,00;0,00;0,00;;Oui
200;;paso dari 20 bleu sidbenz;qte;0,00;0,00;20,00;0,00;0,00;;Oui
201;;sepiyo hdid blyed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
202;;tmas tobo rwak marron penia;qte;0,00;0,00;20,00;0,00;0,00;;Oui
203;;rachacha inox 3adia;qte;0,00;0,00;20,00;0,00;0,00;;Oui
204;;support rachacha carre clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
205;;fekron sakhan fagor fo9i;qte;0,00;0,00;20,00;0,00;0,00;;Oui
206;;tornios seterna tasa clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
207;;chalimo nhas vanne;qte;0,00;0,00;20,00;0,00;0,00;;Oui
208;;sifon 15*15 filler;qte;0,00;0,00;20,00;0,00;0,00;;Oui
209;;sifon 10*10 glama;qte;0,00;0,00;20,00;0,00;0,00;;Oui
210;;clapi sifon inox;qte;0,00;0,00;20,00;0,00;0,00;;Oui
211;;sifon 20m inox relax;qte;0,00;0,00;20,00;0,00;0,00;;Oui
212;;sifon 10*10 iroski;qte;0,00;0,00;20,00;0,00;0,00;;Oui
213;;sifon plastique kmei;qte;0,00;0,00;20,00;0,00;0,00;;Oui
214;;sifon code 32 10*10;qte;0,00;0,00;20,00;0,00;0,00;;Oui
215;;sifon 15*15 hdid relax;qte;0,00;0,00;20,00;0,00;0,00;;Oui
216;;cable floteur pompa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
217;;sakhan 6l joya;qte;0,00;0,00;20,00;0,00;0,00;;Oui
218;;kayata sakhan;qte;0,00;0,00;20,00;0,00;0,00;;Oui
219;;ras goma color flying;qte;0,00;0,00;20,00;0,00;0,00;;Oui
220;;rachacha plastique mdwra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
221;;sifon 10*10 palaman noir;qte;0,00;0,00;20,00;0,00;0,00;;Oui
222;;rachacha mdwra;qte;0,00;0,00;20,00;0,00;0,00;;Oui
223;;bik cocina color;qte;0,00;0,00;20,00;0,00;0,00;;Oui
224;;guigo rih bleu;qte;0,00;0,00;20,00;0,00;0,00;;Oui
225;;teflon moyen;qte;0,00;0,00;20,00;0,00;0,00;;Oui
226;;sifon 10*10 palaman chrome;qte;0,00;0,00;20,00;0,00;0,00;;Oui
227;;joint conique tasa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
228;;khaja lavadora 2p;qte;0,00;0,00;20,00;0,00;0,00;;Oui
229;;kharja lavabo 2p bide;qte;0,00;0,00;20,00;0,00;0,00;;Oui
230;;tornios ghataya tasa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
231;;pakia sesaba qtools;qte;0,00;0,00;20,00;0,00;0,00;;Oui
232;;ras magana bota petit bota gaz;qte;0,00;0,00;20,00;0,00;0,00;;Oui
233;;teflon petit clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
234;;boit papier gynique;qte;0,00;0,00;20,00;0,00;0,00;;Oui
235;;porte savon ps;qte;0,00;0,00;20,00;0,00;0,00;;Oui
236;;porte savon alum;qte;0,00;0,00;20,00;0,00;0,00;;Oui
237;;robinet dari 20 ppr;qte;0,00;0,00;20,00;0,00;0,00;;Oui
238;;porte savon noir kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
239;;porte servitte noir mdwar kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
240;;porte papier gynique noir kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
